고유번호,직업 이름,하는 일
95,크라우드 펀딩 전문가,"크라우드 펀딩은 군중 또는 다수를 의미하는 영어 단어 크라우드(crowd)와 자금 조달을 뜻하는 펀딩(funding)을 조합한 용어입니다.
 회사를 새로 시작하기 위해 자금이 필요한 사람이 중개업자를 통해 온라인에서 다수의 소액 투자자로부터 자금을 얻는 것을 크라우드 펀딩이라 합니다.
 크라우드 펀딩 전문가는 크라우드 펀딩 중개를 담당하는 금융 투자업자로서, 고객의 재산을 직접 맡아서 관리하지 않고, 자금이 필요한 사람과 자금을 투자하고 싶은 사람 사이를 중개하는 역할을 수행합니다."
96,클라우드 시스템 엔지니어,"클라우드 시스템 엔지니어는 인터넷의 서버에 각종 컴퓨터 프로그램을 올려 놓고 여러 이용자들이 인터넷에 접속하여 데이터를 저장하고 처리할 수 있는 기술을 개발합니다.
 ‘클라우드(cloud)’는 인터넷에 존재하는 클라우드 인프라 위에서 작동되는 소프트웨어를 이용해 컴퓨터 자원을 사용하거나, 자료를 저장하거나, 새로운 애플리케이션을 개발하는 가상의 환경을 말합니다.
 클라우드 기술을 통해 우리는 인터넷 공간에 프로그램과 데이터를 저장해 두고 언제 어디서나 필요할 때마다 다양한 기기(컴퓨터/핸드폰/태블릿피시)를 통해 편리하게 사용할 수 있습니다.
 고객 회사가 각자 가지고 있는 시스템과 응용 소프트웨어를 분석하여, 고객 회사의 시스템이 클라우드 환경으로 자연스럽게 바뀔 수 있도록 기술지원을 제공합니다."
97,태양광발전연구 및 개발자,"태양 빛을 이용하여 전기를 발생시키는 장치를 연구하고 태양광 발전에 필요한 각종 장비를 개발합니다.
 태양전지, 태양광 모듈 등 태양광 분야의 새로운 제품을 연구하고 개발합니다.
 태양전지, 태양광 모듈 등 태양광 분야의 제품을 생산하는 데 필요한 각종 공정 장비를 연구·설계하고 개발합니다.
 태양광 분야의 제품을 보다 효율적으로 생산하기 위한 공정을 연구합니다.
 보다 효율적인 태양광 발전 시스템을 연구합니다."
98,토목공학기술자,"토목공학기술자는 국가 기반 시설인 도로, 철도, 교량, 터널, 항만, 상하수도, 댐 등을 계획 및 설계하고 시공합니다.
 설비계획 또는 사업계획에 의하여 공사 일정, 설계 일정, 공사 기간 등 단위 공사의 기본 계획을 작성합니다.
 토목시설물의 재료를 선택하고 기기의 하중, 풍압 등의 조건에 적합한 구조를 결정하며 색채, 외형 등이 균형과 조화를 이루도록 합니다.
 토목 시설물 공사의 각 작업 과정 소요 일정을 판단하고 기전 설비와의 연관관계를 검토하며, 작업의 우선순위, 기후 조건 등을 고려하여 종합 공정표를 작성하고 공정대로 공사가 진행되도록 자재, 인원, 장비의 투입 등 전반적인 공정을 검토·분석합니다.
 측량, 조사시험, 설계 등의 용역과 공사 시공에 따른 과업 지시서, 시공품의 중간검사, 설계변경, 준공검사 등과 시설 공사의 감리 업무 등 제반 행정 처리 업무를 수행합니다."
99,통신공학 기술자 및 연구원,"통신공학 기술자 및 연구원은 물리학, 수학 및 컴퓨터의 구조와 원리에 대한 전문 지식을 바탕으로 통신 장비의 설계, 생산 업무를 관리 및 감독합니다.
 종합적인 통신망 체계를 구축하기 위해 망을 기획, 연구,설계하며, 세부적인 시설에 대한 계획을 수립합니다.
 단파방송 서비스 현황 및 수신 상태를 분석하고 주파수를 선별하며 송출 시스템 송신 장비 운용 사항을 검토하고, 방송 시설을 설계합니다.
 무선통신에 관한 공학 기초 지식을 바탕으로 이동전화, 레이다 설비, 방향탐지기, 팩시밀리, 공동시청안테나, 무선랜 등의 각종 무선설비 설계 및 설치공사를 감독 및 시공하는 기술적인 업무를 수행합니다.
 위성통신 연구 설계, 제작 및 관련 기간 산업 시설, 각종 생활 편리성 등을 연구개발 합니다."
100,통신망설계운영기술자,"통신망설계운영기술자는 통신망의 접속자 몰림 현상 해소, 통화 완료율 향상, 기존 통신망의 효율성 극대화 등을 위해 연구 및 개발하는 일을 합니다.
통신망의 품질 향상, 안정적인 접속 상태 제공을 위해 통신망을 설계하고 차세대 통신기술 및 지능망서비스에 관하여 계획합니다.
 통신망의 안정적 운용을 위하여 기술적 운영 방향을 세우고 이에 알맞은 통신망을 기획 및 설계하고 만듭니다.
 통신망의 안정성과 품질을 높이기 위해 통신망 운영에 대한 중장기 전략을 마련하고 통신망 품질관리와 통신망 장애에 대한 복구 대책을 만듭니다."
101,통신설비설치 및 수리원,"통신설비설치 및 수리원은 유선전화, 휴대폰, 무선통신기, 무선전화 등의 각종 유선이나 무선통신장비를 설치하고 수리하는 일을 담당합니다.
 유선전화, 휴대폰, 무선전화, 무선통신기 등의 송신과 수신을 이어주기 위한 설계도에 따라 통신장비 설치 위치를 확인하고, 통신장비를 설비합니다.
 설비한 통신장비가 잘 작동하는지 확인하며, 이상이나 고장이 발생하면 이를 수리합니다."
102,통신엔지니어,"통신엔지니어는 초고속 인터넷 시스템 및 기타 전송 방식에 사용되는 통신의 전자회로, 제품, 관련된 기술을 연구하고 개발하는 일을 담당합니다.
 국내외 시장조사, 통신 분야의 최신 기술이나 변화 등을 분석하여 새로운 기능과 성능을 갖춘 통신 제품과 기술을 연구하고 개발합니다.
 새롭게 개발된 통신 제품과 기술, 제품의 성능과 기능, 개발된 제품과 기술이 실제로 상품화되어 고객에게 서비스될 수 있는지에 대해 평가하고 확인합니다.
 통신 관련 제품이나 부품 등을 정기적으로 점검하고, 문제점이나 이상이 발견되면 원인을 분석하고 수리하기도 합니다."
103,통신장비기사,"통신장비기사는 무선중계기시스템, 유선통신장비, 무선통신장비, 위성통신장비 등의 장비를 유지하고 관리하며 운용합니다.
 설치 접수증을 확인하여 설치할 장소와 통신 장비의 종류를 확인합니다.
 설계 도면을 검토하여 통신선로를 분리하고 수동 공구, 전기인두 등을 사용하여 전화기, 팩시밀리 등에 통신선로를 연결합니다.
 설치가 완료되면 선로시험원에게 연락하여 선로의 장애 유무를 확인합니다.
 각종 측정 장비를 사용하여 구내의 통신선로를 점검하기도 하며 파손된 장비를 수리하기도 합니다."
104,프로게이머," 프로게이머는 각종 컴퓨터게임 대회에 참가하여 게임을 합니다.
 프로게이머는 게임감독, 팀원들과 함께 전략시뮬레이션, 롤플레잉, 액션게임, 온라인게임 등 컴퓨터게임에 대한 기술 및 전략을 익히고 꾸준히 연습하여 각종 대회에 참가합니다.
 소속 회사에서 개발한 새로운 게임소프트웨어에 대한 테스트를 하며, 새 게임소프트웨어가 출시되면 시연회와 홍보를 하기도 합니다."
105,항공우주공학기술자,"항공우주공학기술자는 공기 중을 비행하는 물체 즉, 여객기, 전투기, 우주선 등의 각종 비행 물체를 설계하고 개발하는 일을 담당합니다.
 항공기의 본체나 시스템 및 전자 설비(레이더 등)를 설계하고, 실험 및 연구를 통해 새로운 항공공학기술을 개발합니다.
 다목적 인공위성, 로켓 개발 등과 같은 프로젝트에 참여하여 기체나 시스템 및 각종 장비를 연구하고 설계합니다.
 항공기 제조 공정을 감독하고 관련 기술을 지도하기도 합니다."
106,해양 에너지 기술자,"해양 에너지 기술자는 바다의 자원을 활용하여 에너지를 얻을 수 있는 방법과 기술을 개발합니다.
 바다에 넓게 존재하고 있는 파랑(파도), 조류, 바다의 온도 차이 등을 전기에너지로 바꾸는 기술을 연구하고 관련 기계나 설비를 개발합니다.
 바다를 조사하고 자원을 개발하기 위해 만드는 해양 구조물을 설치하고 관리하는 일을 합니다.
 해양 에너지 자원을 조사하고 해양 에너지를 이용할 경우에 환경에 어떠한 영향을 미치는지 평가합니다."
107,해양공학기술자,"해양공학기술자는 관련 전문 지식을 이용하여 기초 자료를 조사, 분석하고 해양환경 현황을 조사, 관측, 평가, 계획합니다.
 각종 관측과 기상관측을 통하여 환경영향평가 및 위치적 타당성을 검토합니다.
 흙의 일반적인 활동 현상을 분석하고, 구조물의 하중에 대한 지지력을 추적하여 해안보전 시설물, 방파제, 방사제 등 해양구조물의 안정을 위한 합리적인 설계 및 도면 작성, 재료 선택, 시공을 진행하고, 시공에 따른 오염물의 확산, 해안 건설공사로 인한 생태계의 영향 등을 분석합니다."
108,홀로그램 전문가," 홀로그램 전문가는 기술 분야와 서비스 분야로 나눌 수 있는데, 기술 관련 전문가는 홀로그램을 데이터로 생성하고 처리하는 연구와 개발을 담당합니다.
 서비스 관련 전문가는 주로 문화 공연이나 전시를 기획하고 설계하여 콘텐츠를 제작함으로써 사람들이 홀로그램을 직접 볼 수 있도록 만드는 일을 합니다.
 오디오, 영상, 컴퓨터그래픽, 시스템설계 등의 다양한 분야의 전문가와 함께 작업을 수행합니다."
109,화학공학기술자,"화학공학기술자 및 연구원은 석유, 광물, 나무 등 천연자원을 이용해 일상생활에 필요한 화장품, 비누, 섬유, 의약, 고무, 플라스틱 등 화학제품을 만드는 공정을 연구하거나, 화학제품을 생산하기 위한 설비 시스템 및 관련 정보를 연구, 설계, 개발하는 일을 합니다.
 안전기준에 적합한 화학제품 생산 시스템을 만들기 위한 설계를 수행하고, 설계도에 따라 설비의 건설과 설치를 감독하며, 생산공정 및 각종 제어시스템을 전문적으로 다루거나 제작합니다.
 생산된 제품이 품질 표준을 만족했는지 확인하는 품질 통제 활동과 품질관리 프로그램을 운영하고 원료, 제품, 폐기물에 대한 기준을 마련하는 활동을 합니다."
110,환경공학기술자 및 연구원,"환경공학기술자 및 연구원은 각종 환경오염 문제를 확인하여 연구개발을 통해 방지 대책을 세우거나 공해 방지 설비를 설계하고 제작하며 환경 개선 방안을 수립합니다.
 환경보전에 필요한 다양한 공학적인 기술을 개발하고, 환경오염 방지 및 제어를 위한 처리시설을 설계합니다.
발생된 폐기물 및 기타 오염물질 등을 정화하기 위한 공정의 설계, 시공, 운전 등에 관여합니다."
111,환경컨설턴트," 환경컨설턴트는 기업이나 공공 조직이 가지고 있는 환경 관리상의 문제점을 진단하고 이에 대한 해결책을 제시하는 일을 합니다.
 신도시 개발 사업 등 여러 형태의 개발 행위가 자연환경에 미치는 영향을 사전에 측정하고 평가하여 환경적으로 건전하고 지속 가능한 개발이 될 수 있는 해결책을 제시합니다.
 기업이나 공공 조직의 환경 관리 상태를 진단하고 체계적인 환경 관리를 위한 조직의 방침 및 장기 계획을 수립하며, 그것을 실행하기 위한 방법들에 대해 조직원들에게 교육합니다."
